OPTIMISED TIMETABLE SCHEDULE — GWO v6
======================================================================

SCHEDULE DETAILS:
----------------------------------------------------------------------
14465      | blended   | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | 207      | Prof. Moh'D Azzeh
14466      | inperson  | lecture | slot_177           | Sunday  Monday  Tuesday      | 702      | Dr. Mohammad Abdel Rahman
15110      | blended   | lecture | slot_178           | Monday  Wednesday            | 203      | Yousef Yaseen
15220      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 208      | Qasem Abu Al-Haija'
15230      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 201      | Prof. Ja'Afer Alsaraireh
15231      | inperson  | lab     | slot_210           | Monday  Wednesday            | it105    | Yousef Yaseen
15233      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 206      | Qasem Abu Al-Haija'
15360      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 202      | Prof. Ja'Afer Alsaraireh
20131      | blended   | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | 202      | Yousef Abu Hour
20131      | blended   | lecture | slot_178           | Monday  Wednesday            | 703      | Yousef Abu Hour
20132      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 301      | Prof. Samia Bushnaq
20132      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 204      | Yousef Abu Hour
20133      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 302      | Raja'A Al-Qderat
20133      | inperson  | lecture | slot_160           | Sunday  Monday  Tuesday      | 703      | Raja'A Al-Qderat
20134      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | atelier ُee309 | Prof. Ma'Moon Ahmed
20134      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | atelier ُee309 | Prof. Ma'Moon Ahmed
20134      | blended   | lecture | slot_178           | Monday  Wednesday            | atelier ُee309 | Dr. Abeer Jaradat
20135      | blended   | lecture | slot_162           | Sunday  Monday  Tuesday      | 341      | Prof. Fida Mohammad
20140      | online    | lecture | slot_170           | Monday  Wednesday            | ONLINE   | Tariq Aldaraghmeh
20141      | inperson  | lecture | slot_179           | Sunday  Monday  Tuesday      | 701      | Prof. Khaldoun Al Tarawneh
20142      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 302      | Omar Zayed
20142      | inperson  | lecture | slot_161           | Sunday  Monday  Tuesday      | 342      | Tariq Aldaraghmeh
20147      | inperson  | lab     | slot_169           | Sunday  Tuesday              | ee103physicsee | Omar Zayed
20147      | inperson  | lab     | slot_180           | Sunday  Monday  Tuesday      | ee103physicsee | Tariq Aldaraghmeh
20150      | inperson  | lab     | slot_164           | Sunday  Tuesday              | ee103physicsee | Omar Zayed
20150      | inperson  | lab     | slot_164           | Sunday  Tuesday              | online   | Tariq Aldaraghmeh
